time,catch_amount,area_diameter,area_pos.x,area_pos.z,sardine_pos.x,sardine_pos.z
10.46215,1,1.5,2.447108,-1.445731,2.392165,-1.344774
17.19085,2,1.5,-1.956312,0.7964381,-2.198403,0.9864864
22.0769,3,1.5,2.5026,-1.383235,1.801568,-1.451067
26.93309,4,1.5,-1.086667,-0.04421705,-1.307571,-0.3010204
31.64484,5,1.5,2.609312,-0.7572038,2.057745,-0.7766846
36.2378,6,1.5,0.4991736,-0.4411369,0.05999022,-0.6296529
41.11115,7,1.5,-0.230255,-0.3217378,-0.474,-0.4411428
45.73405,8,1.5,-0.7022948,0.008784024,-0.4800284,-0.2067735
50.15171,9,1.5,-0.8091114,-0.2268961,-0.9914231,-0.3236664
54.91843,10,1.5,-0.9114146,-0.8573551,-1.096586,-0.8888713
60.47651,11,1.5,-1.302117,-1.824975,-0.8836862,-1.315968
64.86383,12,1.5,2.556121,-1.294596,2.287782,-1.237832
69.6169,13,1.5,1.436882,0.2757165,1.124557,-0.003163777
73.42349,14,1.5,0.2811327,-1.139094,0.325504,-1.031598
83.98804,15,1.5,1.103945,-0.1257104,1.653021,-0.4984027
87.8643,16,1.5,0.7817522,-0.7432986,0.669419,-0.9231057
92.29005,17,1.5,-1.700885,-0.74
