time,catch_amount,area_diameter,area_pos.x,area_pos.z,sardine_pos.x,sardine_pos.z
9.788828,1,1.3,-1.520639,-0.7697573,-1.859317,-0.9755186
19.83646,2,1.3,1.194576,-0.8772749,1.108452,-0.8970996
25.19631,3,1.3,-1.307803,-1.335626,-1.059218,-1.30113
29.49388,4,1.3,0.6421111,-0.07862649,0.6444956,-0.08936869
34.60469,5,1.3,-1.952993,-1.150121,-1.768271,-1.044624
41.58598,6,1.3,-1.713098,0.3675574,-1.824374,0.5175723
50.42582,7,1.3,-0.2014072,0.2470195,-0.04792524,0.3611483
58.76925,8,1.3,-0.695923,0.6736954,-0.7208962,0.511201
63.25607,9,1.3,-2.225438,-1.094802,-1.786822,-0.798749
68.29158,10,1.3,0.4720555,-0.8012615,0.3987592,-0.7439106
71.79963,11,1.3,-1.457525,-0.07571883,-1.563818,-0.05197524
78.34798,12,1.3,0.9959919,-1.461638,1.12621,-1.400424
84.20853,13,1.3,-1.863626,-1.77878,-1.72177,-1.470691
88.90784,14,1.3,-1.880531,-1.123859,-1.724917,-1.009261
93.36189,15,1.3,-0.1426443,-0.5721639,-0.08870964,-0.443618
96.92309,16,1.3,-1.60269,-0.1483399,-1.918412,-0.3000658
101.438,17,1.3,1.045466
