time,catch_amount,area_diameter,area_pos.x,area_pos.z,sardine_pos.x,sardine_pos.z
42.5883,1,1.5,-1.742231,0.1234408,-2.144657,0.3177119
107.1844,2,1.5,1.158801,0.9841907,1.201022,0.7607685
112.9976,3,1.5,-2.204212,-0.8448604,-2.48182,-1.069889
122.7458,4,1.5,-1.329161,-0.4791141,-1.422789,-0.0244664
126.8244,5,1.5,0.9226053,-0.3164844,1.025534,-0.008614087
130.1996,6,1.5,1.182114,-0.1239757,1.264034,-0.1049376
135.4201,7,1.5,-1.98824,-1.184185,-1.746323,-1.130494
140.0752,8,1.5,0.4042583,-1.05062,0.3731118,-1.0443
148.3806,9,1.5,-0.6849875,1.379048,-0.8470232,1.382841
152.6807,10,1.5,-0.09360597,-0.9177349,-0.04698545,-0.6250173
157.1337,11,1.5,1.896315,-1.385623,1.799934,-1.4698
163.6997,12,1.5,0.1134253,-0.4465118,0.144466,-0.5692614
167.4666,13,1.5,0.7447525,-0.9395906,0.859328,-0.8120505
172.3273,14,1.5,-1.899278,-0.8691543,-1.610879,-0.7325345
176.5777,15,1.5,-0.1957965,-1.657286,-0.3065368,-1.494273
