time,catch_amount,area_diameter,area_pos.x,area_pos.z,sardine_pos.x,sardine_pos.z
49.91004,1,1.1,-2.580461,1.686186,-2.397111,1.341703
53.23382,2,1.1,1.562304,-1.308347,1.688704,-1.400022
62.70497,3,1.1,-2.780295,0.4089927,-2.479366,0.1529435
80.33099,4,1.1,0.3944466,0.5101783,0.5336034,0.4722783
86.08361,5,1.1,1.530194,0.9102997,1.327657,0.889295
90.66344,6,1.1,-0.9727427,0.7584319,-0.9240744,1.115083
106.8867,7,1.1,-0.505192,-1.229682,-0.7531364,-1.14483
110.7273,8,1.1,-0.4485572,0.2884891,-0.6375927,0.1414437
115.1623,9,1.1,-1.109681,-0.9492824,-1.173442,-1.214572
119.0457,10,1.1,-2.608573,-1.779653,-2.251577,-1.432564
123.2351,11,1.1,-0.9203163,-1.375325,-0.8841039,-1.234819
126.7631,12,1.1,-2.633143,-1.457369,-2.476364,-1.037275
134.0363,13,1.1,-0.931458,-1.215628,-0.7654062,-0.9793867
137.9774,14,1.1,-0.3222046,-1.573587,-0.2888305,-1.349749
141.5565,15,1.1,2.117214,0.04854347,2.184855,0.4005156
148.2423,16,1.1,-2.531988,1.15944,-2.497919,1.210024
152.3598,17,1.1,-1.770206,-1.220464,-1.
