Time,LorR,Question,Character,Answer_State,Answer_Time
7.982671,right,2,R,correct,0.8221416
11.08103,left,6,L,correct,1.081129
15.25779,left,1,L,correct,1.623756
19.2874,left,5,L,correct,1.371449
22.64909,right,4,R,correct,0.8512993
27.21866,right,3,R,correct,0.8230591
30.67497,left,3,L,correct,1.23027
33.62748,right,6,R,correct,0.8312492
37.04465,left,2,L,correct,0.8064499
40.76917,right,5,R,correct,0.7888985
44.91741,right,1,R,correct,1.709583
50.17598,left,4,L,correct,0.6440506
54.10158,right,3,R,correct,0.9356384
59.53181,left,2,L,correct,1.047386
68.60998,right,1,R,correct,0.9373474
74.15809,left,5,L,correct,0.8612213
77.27987,right,6,R,correct,0.819809
81.85986,right,1,R,correct,0.623703
86.12827,left,3,L,correct,1.072472
89.92812,right,2,R,correct,0.7314301
95.0469,left,5,L,correct,0.7817688
100.3123,left,6,L,correct,1.184814
103.75,left,4,L,correct,1.219086
107.5269,right,3,R,correct,1.129181
113.6454,right,6,R,correct,1.198608
118.6326,right,4,R,correct,0.9628906
123.4128,le
