Time,LorR,Question,Character,Answer_State,Answer_Time
10.34533,right,5,R,correct,0.8558655
13.21911,right,6,R,correct,0.6088104
18.42601,right,4,R,correct,0.6008987
19.32061,right,9999,xxx,irrelevant_answer,9999
28.61587,left,2,L,correct,0.8488197
34.07549,left,3,L,correct,0.6482086
38.78849,right,3,R,correct,0.9970856
43.94167,right,2,R,correct,0.6890869
49.58689,left,1,L,correct,1.164684
53.54213,left,5,L,correct,0.8065796
57.23447,left,4,L,correct,0.8084259
61.38343,right,6,L,character_mistake,1.248505
65.30089,right,6,R,correct,0.7000351
68.70457,right,5,R,correct,0.8163376
74.11833,right,3,L,character_mistake,0.9341812
74.33307,left,9999,xx,irrelevant_answer,9999
79.29476,left,4,L,correct,0.7025299
83.44932,left,1,L,correct,0.5592346
87.47485,right,2,R,correct,1.891869
92.74025,left,6,L,correct,0.6703033
96.05619,left,4,L,correct,0.7194748
99.60216,left,1,L,correct,1.228073
105.4854,left,5,L,correct,1.160011
108.9241,right,2,R,correct,0.9001617
112.0917,right,3,R,correct,0.736053
