time,ansTime1,ansTime2,ansTime3,ansTimeAve
0.03491402,7,7,7,0
0.03491402,7,7,7,0
0.03491402,7,7,7,0
0.03491402,7,7,7,0
0.03491402,7,7,7,0
0.03491402,7,7,7,0
0.1040821,7,7,7,0
0.1040821,7,7,7,0
0.1040821,7,7,7,0
0.1040821,7,7,7,0
0.1040821,7,7,7,0
0.1040821,7,7,7,0
0.1151257,7,7,7,0
0.1151257,7,7,7,0
0.1151257,7,7,7,0
0.1151257,7,7,7,0
0.1151257,7,7,7,0
0.1151257,7,7,7,0
0.1309166,7,7,7,0
0.1309166,7,7,7,0
0.1309166,7,7,7,0
0.1309166,7,7,7,0
0.1309166,7,7,7,0
0.1309166,7,7,7,0
0.1395741,7,7,7,0
0.1395741,7,7,7,0
0.1395741,7,7,7,0
0.1395741,7,7,7,0
0.1395741,7,7,7,0
0.1395741,7,7,7,0
0.1506844,7,7,7,0
0.1506844,7,7,7,0
0.1506844,7,7,7,0
0.1506844,7,7,7,0
0.1506844,7,7,7,0
0.1506844,7,7,7,0
0.1641998,7,7,7,0
0.1641998,7,7,7,0
0.1641998,7,7,7,0
0.1641998,7,7,7,0
0.1641998,7,7,7,0
0.1641998,7,7,7,0
0.1763401,7,7,7,0
0.1763401,7,7,7,0
0.1763401,7,7,7,0
0.1763401,7,7,7,0
0.1763401,7,7,7,0
0.1763401,7,7,7,0
0.1873169,7,7,7,0
0.1873169,7,7,7,0
0.1873169,7,7,7,0
0.1873169,7,7,7,0
0.1873169,7,7,7,0
0.1873169,7,7,7,0
0.1992702,7,7,7,0
0.1992702,7,7,7,0
0.1992702,7,7,7,0
0.1992702,7,7,7,0
0.1992702,7,7,7,0
0.1992702,7,7,7,0
0.2103176,7,7,7,0
0.2103176,7,7,7,0
0.2103176,7,7,7,0
0.2103176,7,7,7,0
0.2103176,7,7,7,0
0.2103176,7,7,7,0
0.2222824,7,7,7,0
0.2222824,7,7,7,0
0.2222824,7,7,7,0
0.2222824,7,7,7,0
0.2222824,7,7,7,0
0.2222824,7,7,7,0
0.2333546,7,7,7,0
0.2333546,7,7,7,0
0.2333546,7,7,7,0
0.2333546,7,7,7,0
