Time,LorR,Question,Character,Answer_State,Answer_Time
9.47089,right,1,R,correct,1.684288
14.12768,left,5,L,correct,0.7162666
22.93815,left,6,R,character_mistake,0.9799156
23.14288,right,9999,xxx,irrelevant_answer,9999
27.63674,right,4,R,correct,0.9053078
32.27179,left,3,L,correct,1.304611
36.25767,left,1,L,correct,1.354141
40.50539,right,5,R,correct,1.825077
44.98141,left,4,L,correct,0.7414093
49.71322,right,3,R,correct,0.7156296
53.69888,right,2,R,correct,0.8612213
57.77263,left,6,L,correct,0.9178696
64.37741,left,5,L,correct,1.731995
69.81809,left,3,L,correct,0.8235321
74.13457,left,1,L,correct,0.9870148
78.25105,left,4,L,correct,0.7847824
83.2542,left,2,L,correct,1.206978
88.64274,left,6,L,correct,0.7568054
92.06844,right,4,R,correct,0.9952469
96.38644,left,3,L,correct,1.593872
102.6774,right,2,R,correct,1.752831
106.8936,right,5,R,correct,1.099197
111.8173,left,6,L,correct,0.6607056
115.5294,right,1,R,correct,1.245361
116.1365,right,9999,xxx,irrelevant_answer,9999
118.8942,right,
