time,catch_amount,area_diameter,area_pos.x,area_pos.z,sardine_pos.x,sardine_pos.z
18.35467,1,1.3,0.5798751,-0.8187484,0.82725,-0.6677328
22.68412,2,1.3,-1.791826,-1.054809,-1.579251,-1.011629
29.23543,3,1.3,-2.131283,1.017963,-1.877735,1.238004
33.61657,4,1.3,-1.51695,-0.9098282,-1.268702,-0.7702556
38.30358,5,1.3,0.01037367,-1.12469,-0.08848192,-1.499325
42.47707,6,1.3,0.4648601,-1.081485,0.3165527,-1.236616
47.60622,7,1.3,-0.4570671,-0.02361131,-0.9447859,-0.3956276
53.92597,8,1.3,2.094776,0.1345862,1.700853,-0.1526045
64.47893,9,1.3,-2.633279,-0.4669015,-2.504126,-0.5701147
69.31133,10,1.3,-0.05842022,-1.201569,-0.2918536,-1.364989
73.91162,11,1.3,-0.7069186,-1.196105,-0.5925939,-1.41694
79.84009,12,1.3,1.414629,-0.7824735,1.181214,-0.5669961
92.26553,13,1.3,-1.960995,-1.356564,-2.101099,-0.8636392
96.70412,14,1.3,-1.536031,-0.4337441,-1.587597,-0.5381868
105.9336,15,1.3,2.310784,1.169105,2.191078,1.407614
111.6401,16,1.3,-0.7877752,-0.2120643,-0.7758141,-0.04574345
119.0729,17,1.3,-0.8217
