Time,LorR,Question,Character,Answer_State,Answer_Time
9.588396,right,2,R,correct,0.8598862
14.37008,left,6,L,correct,0.9649963
19.44976,right,1,R,correct,0.9770737
24.69237,left,4,L,correct,0.7607536
27.80422,right,3,R,correct,1.059494
31.16942,left,5,L,correct,0.807457
34.49537,left,2,L,correct,0.9385452
39.8857,right,5,R,correct,0.7741585
43.64999,right,6,R,correct,0.8679886
46.89162,left,3,L,correct,1.01281
50.56567,right,4,R,correct,1.057121
55.64989,left,1,L,correct,0.8869705
58.94965,left,3,L,correct,0.9996033
63.39681,right,6,R,correct,0.9939346
67.45446,right,5,R,correct,1.156288
71.59454,left,4,L,correct,1.266792
76.38409,right,1,R,correct,1.060486
81.47805,left,2,L,correct,1.749886
84.68421,right,5,R,correct,0.9292145
89.53352,right,4,R,correct,0.9265823
94.82544,left,1,L,correct,1.069885
99.24474,left,6,L,correct,1.367844
103.3027,left,3,L,correct,0.8093643
107.7652,right,2,R,correct,1.354355
111.6525,left,4,L,correct,0.9755402
117.0525,left,5,L,correct,1.484451
120.7803,
