Time,LorR,Question,Character,Answer_State,Answer_Time
22.10849,right,1,R,correct,0.8535881
25.44706,right,3,R,correct,0.8841248
29.68303,right,5,R,correct,0.7735023
32.94392,left,4,L,correct,0.7780685
35.96241,right,2,R,correct,0.8132401
40.47722,right,6,R,correct,0.7027054
43.69044,left,6,L,correct,0.9202576
46.94156,left,1,L,correct,0.8049545
51.20124,left,2,L,correct,0.7665329
56.76838,left,5,L,correct,0.7237091
60.5475,left,3,L,correct,0.8735809
64.39899,right,4,R,correct,1.054268
67.54846,left,6,L,correct,0.8467712
72.53514,left,1,L,correct,1.130348
77.83655,right,5,R,correct,0.9623489
80.9406,left,3,L,correct,0.8589935
84.1394,left,4,L,correct,0.9953613
88.30687,left,2,L,correct,1.00914
92.92632,left,1,L,correct,0.8996506
96.67996,right,3,R,correct,1.342026
100.9713,left,5,L,correct,0.8075104
104.503,right,4,R,correct,0.9659271
107.9484,left,6,L,correct,0.9657288
111.5641,left,2,L,correct,0.9569855
117.2658,right,1,R,correct,0.9700012
121.8154,left,4,L,correct,0.8066864
126.50
