Time,LorR,Question,Character,Answer_State,Answer_Time
11.72845,left,1,L,correct,0.8491879
17.05302,left,4,L,correct,0.7026443
20.58491,right,6,R,correct,0.8100815
24.22733,left,3,L,correct,0.9640617
28.52531,left,2,L,correct,1.117828
33.91265,left,5,L,correct,0.7864189
38.63517,right,2,R,correct,1.002739
42.98112,right,3,R,correct,0.6963882
47.26494,left,6,L,correct,0.7937927
50.86985,right,5,R,correct,0.6969414
55.50904,right,4,R,correct,0.8687134
60.88659,right,1,R,correct,0.788002
66.67981,left,1,L,correct,0.9022827
70.43115,right,5,R,correct,0.7402802
74.89435,right,4,R,correct,0.7801132
78.32779,right,3,R,correct,0.8635635
82.21236,left,6,L,correct,1.203964
87.02583,right,2,R,correct,0.8252411
92.04434,right,1,R,correct,0.8678207
95.21567,right,6,R,correct,0.7586746
100.3055,left,5,L,correct,1.132599
104.1467,left,3,L,correct,0.8171921
108.7144,left,4,L,correct,0.8444824
113.5442,left,2,R,character_mistake,0.7795029
114.1227,right,9999,xxx,irrelevant_answer,9999
119.0465,right,5
