Time,LorR,Question,Character,Answer_State,Answer_Time
10.18208,left,3,L,correct,0.6542473
15.37793,left,2,L,correct,0.6813316
18.83175,right,1,R,correct,0.5908699
24.81619,right,4,R,correct,0.9873581
28.0391,right,6,R,correct,0.6029739
31.91349,right,5,L,character_mistake,0.612793
34.80313,right,5,R,correct,0.7097931
40.425,right,2,R,correct,1.222687
45.82801,left,1,L,correct,0.6801147
51.60284,left,3,R,character_mistake,0.7767639
55.73079,left,6,L,correct,0.9865952
60.19697,left,4,L,correct,0.6758118
63.76438,left,1,L,correct,1.078712
68.23756,right,6,R,correct,0.8178787
73.76155,left,5,L,correct,0.6499252
79.30571,left,3,L,correct,0.7164841
82.55446,right,2,R,correct,0.7187424
87.19672,right,4,R,correct,0.8895721
90.6693,left,4,L,correct,0.7540665
94.55467,right,5,R,correct,0.5909424
97.72546,left,6,L,correct,0.698761
100.8215,right,3,R,correct,0.6140289
100.9893,right,9999,xxx,irrelevant_answer,9999
104.6052,right,2,R,correct,0.7245789
109.2871,left,1,L,correct,0.7493286
114.9341,
