Time,LorR,Question,Character,Answer_State,Answer_Time
24.62767,right,4,R,correct,0.5683136
28.21619,left,2,L,correct,0.6529922
31.89032,left,1,L,correct,0.8376198
34.68638,left,5,L,correct,0.6410828
37.41929,left,3,L,correct,0.7319183
42.28844,right,6,R,correct,0.5623093
45.3467,left,5,R,character_mistake,0.5873413
50.66617,right,3,R,correct,0.5288391
56.17003,left,4,L,correct,0.755867
59.81673,right,2,R,correct,0.798027
64.90588,left,6,L,correct,0.6496887
68.07393,right,1,R,correct,1.002403
71.54051,left,6,L,correct,0.8113098
76.88448,left,1,L,correct,0.5349655
82.43169,right,4,R,correct,0.6625595
85.55713,right,3,R,correct,0.5406952
88.9345,right,2,R,correct,1.227707
89.36958,right,9999,xxx,irrelevant_answer,9999
93.70702,left,5,L,correct,0.6567535
98.38769,left,2,L,correct,0.7389221
103.0526,right,3,R,correct,0.6722107
107.6978,right,6,R,correct,0.6255951
112.3514,left,5,L,correct,0.6316528
115.4165,left,4,L,correct,0.5750732
120.0816,right,1,R,correct,0.5797882
123.9421,right,4,R
