Time,LorR,Question,Character,Answer_State,Answer_Time
8.001919,right,6,R,correct,0.5521812
12.43972,right,3,R,correct,0.6228371
15.85771,left,1,L,correct,0.5682678
19.80439,right,4,R,correct,0.7688675
23.47725,right,5,R,correct,0.8897476
27.619,left,2,L,correct,0.8762703
32.44929,right,6,L,character_mistake,0.5104446
36.86986,left,4,L,correct,0.6293106
42.35735,left,5,L,correct,0.6111984
47.10654,left,3,L,correct,0.6560364
50.45958,right,2,R,correct,0.7057953
55.29113,right,1,R,correct,0.8027267
59.6092,left,4,L,correct,0.6123428
64.04118,left,2,L,correct,0.6308746
67.32416,left,1,L,correct,0.6098938
72.64337,right,5,R,correct,0.7659683
77.96988,right,6,R,correct,1.012344
83.45596,left,3,L,correct,0.8181992
87.63953,right,1,R,correct,0.5201416
92.05075,right,2,R,correct,0.768837
95.0833,left,5,L,correct,0.631813
99.73512,left,4,L,correct,0.8016815
103.1046,right,3,R,correct,0.7102661
106.228,left,6,L,correct,0.7111969
109.6419,right,2,L,character_mistake,0.9377899
114.1017,left,3,L,c
