Time,LorR,Question,Character,Answer_State,Answer_Time
11.71274,right,4,R,correct,1.080128
14.88288,right,2,R,correct,0.599617
18.39495,left,1,L,correct,0.6440353
23.61952,left,3,L,correct,0.7175827
28.52075,right,5,R,correct,0.5608139
31.66484,right,6,R,correct,0.6869354
34.92694,left,5,L,correct,0.6618652
39.02071,left,6,L,correct,0.7989731
43.59023,right,1,R,correct,0.7699051
48.14386,left,4,L,correct,0.5357132
52.04405,right,3,R,correct,0.497612
56.82178,left,2,L,correct,0.8902359
60.94173,left,3,L,correct,0.667923
64.97916,right,5,R,correct,0.616333
67.80899,left,6,L,correct,0.7872696
73.36848,left,2,L,correct,0.9077606
77.0123,right,4,R,correct,0.7945862
80.07794,right,1,R,correct,0.7977219
85.05882,right,1,R,correct,0.5611954
89.86624,left,2,L,correct,0.4823456
93.83986,left,6,L,correct,1.371857
97.65852,right,5,R,correct,0.5825806
102.8887,right,4,R,correct,0.6408844
107.3283,left,3,L,correct,0.8501282
112.292,right,2,R,correct,0.4999542
116.7615,left,1,L,correct,0.6907501
11
