Time,LorR,Question,Character,Answer_State,Answer_Time
24.1538,left,6,L,correct,0.7294235
28.53105,left,2,L,correct,0.5700531
32.81523,left,1,L,correct,0.6453514
36.01882,left,4,L,correct,0.7294044
40.32177,right,5,R,correct,0.6144333
44.81018,left,3,L,correct,0.6957245
49.07935,right,1,R,correct,0.7139359
52.52199,right,4,R,correct,0.6644745
57.91308,left,5,L,correct,0.5476227
61.41011,right,6,R,correct,0.8734283
65.63182,right,3,R,correct,0.8296204
73.20267,right,5,R,correct,0.8003845
77.91383,right,1,R,correct,1.0364
83.37469,left,6,L,correct,1.825981
88.49162,right,4,R,correct,0.7821579
91.91508,right,3,R,correct,0.6665497
95.26396,left,2,L,correct,0.7482758
98.55878,left,6,L,correct,0.7954788
102.9908,left,4,L,correct,0.5433502
107.3976,left,5,L,correct,0.6121063
111.0463,right,2,R,correct,0.7262115
115.7208,right,3,R,correct,0.5950775
121.0208,right,1,R,correct,0.6973572
124.6524,right,4,R,correct,0.7216949
127.6676,left,3,L,correct,0.5888519
132.6134,right,6,R,correct,1.283218