Time,LorR,Question,Character,Answer_State,Answer_Time
15.19682,right,3,R,correct,0.5750351
19.04886,right,6,R,correct,0.6580963
22.20066,left,5,L,correct,0.712471
26.09735,right,1,R,correct,1.204311
29.61835,left,4,L,correct,0.5831833
35.48376,right,2,R,correct,0.919487
36.01429,right,9999,xxx,irrelevant_answer,9999
38.81354,left,3,L,correct,0.6688385
44.50071,left,2,L,correct,0.6978607
47.96519,right,4,R,correct,0.6541748
52.42142,left,1,L,correct,0.7369919
56.01381,right,5,R,correct,1.086746
60.97132,left,6,L,correct,0.8407593
68.798,right,1,R,correct,0.5295868
69.8707,right,9999,xxx,irrelevant_answer,9999
74.30533,right,5,R,correct,0.5259933
77.36044,left,2,L,correct,0.5889053
81.78958,right,6,R,correct,0.672142
87.18236,left,3,L,correct,0.6403275
87.6604,right,9999,xxx,irrelevant_answer,9999
92.50421,left,2,L,correct,0.5287552
97.5323,left,1,L,correct,0.7242737
104.3929,right,9999,xxx,irrelevant_answer,9999
107.0758,right,6,R,correct,1.008896
110.0815,left,5,L,correct,0.6748962
1
