time,ansTime1,ansTime2,ansTime3,ansTimeAve
0.01710892,7,7,7,0
0.01710892,7,7,7,0
0.01710892,7,7,7,0
0.01710892,7,7,7,0
0.01710892,7,7,7,0
0.01710892,7,7,7,0
0.04856491,7,7,7,0
0.04856491,7,7,7,0
0.04856491,7,7,7,0
0.04856491,7,7,7,0
0.04856491,7,7,7,0
0.04856491,7,7,7,0
0.05767441,7,7,7,0
0.05767441,7,7,7,0
0.05767441,7,7,7,0
0.05767441,7,7,7,0
0.05767441,7,7,7,0
0.05767441,7,7,7,0
0.06302452,7,7,7,0
0.06302452,7,7,7,0
0.06302452,7,7,7,0
0.06302452,7,7,7,0
0.06302452,7,7,7,0
0.06302452,7,7,7,0
0.0678196,7,7,7,0
0.0678196,7,7,7,0
0.0678196,7,7,7,0
0.0678196,7,7,7,0
0.0678196,7,7,7,0
0.0678196,7,7,7,0
0.07457352,7,7,7,0
0.07457352,7,7,7,0
0.07457352,7,7,7,0
0.07457352,7,7,7,0
0.07457352,7,7,7,0
0.07457352,7,7,7,0
0.0782032,7,7,7,0
0.0782032,7,7,7,0
0.0782032,7,7,7,0
0.0782032,7,7,7,0
0.0782032,7,7,7,0
0.0782032,7,7,7,0
0.08304977,7,7,7,0
0.08304977,7,7,7,0
0.08304977,7,7,7,0
0.08304977,7,7,7,0
0.08304977,7,7,7,0
0.08304977,7,7,7,0
0.0898819,7,7,7,0
0.0898819,7,7,7,0
0.0898819,7,7,7,0
0.0898819,7,7,7,0
0.0898819,7,7,7,0
0.0898819,7,7,7,0
0.09420013,7,7,7,0
0.09420013,7,7,7,0
0.09420013,7,7,7,0
0.09420013,7,7,7,0
0.09420013,7,7,7,0
0.09420013,7,7,7,0
0.0988636,7,7,7,0
0.0988636,7,7,7,0
0.0988636,7,7,7,0
0.0988636,7,7,7,0
0.0988636,7,7,7,0
0.0988636,7,7,7,0
0.1046143,7,7,7,0
0.1046143,7,7,7,0
0.1046143,7,7,7,0
0.1046143,7,7,7,0
0.1046143,7,7,7,0
0.1046143,7,7,7,0
0.1102619,7,7,7,0
0.1102619,7,7,7,0
0.1102619,7,7,7,0
0.1102619,7,7,7,0
0.1102619,7,7,7,0
0.1102619,7,7,7,0
0.1152706,7,7,7,0
0.1152706,7,7,7,0
0.1152706,7,7,7,0
0.1152706,7,7,7,0
0.1152706,7,7,7,0
0.1152706,7,7,7,0
0.1213436,7,7,7,0
0.1213436,7,7,7,0
0.1213436,7,7,7,0
0.1213436,7,7,7,0
0.1213436,7,7,7,0
0.1213436,7,7,7,0
0.1261024,7,7,7,0
0.1261024,7,7,7,0
0.1261024,7,7,7,0
0.1261024,7,7,7,0
0.1261024,7,7,7,0
0.1261024,7,7,7,0
0.1315155,7,7,7,0
0.1315155,7,7,7,0
0.1315155,7,7,7,0
0.1315155,7,7,7,0
0.1315155,7,7,7,0
0.1315155,7,7,7,0
0.1362305,7,7,7,0
0.1362305,7,7,7,0
0.1362305,7,7,7,0
0.1362305,7,7,7,0
0.1362305,7,7,7,0
0.1362305,7,7,7,0
0.1421776,7,7,7,0
0.1421776,7,7,7,0
0.1421776,7,7,7,0
0.1421776,7,7,7,0
0.1421776,7,7,7,0
0.1421776,7,7,7,0
0.1468067,7,7,7,0
0.1468067,7,7,7,0
0.1468067,7,7,7,0
0.1468067,7,7,7,0
0.1468067,7,7,7,0
0.1468067,7,7,7,0
0.1517525,7,7,7,0
0.1517525,7,7,7,0
0.1517525,7,7,7,0
0.1517525,7,7,7,0
0.1517525,7,7,7,0
0.1517525,7,7,7,0
0.1578178,7,7,7,0
0.1578178,7,7,7,0
0.1578178,7,7,7,0
0.1578178,7,7,7,0
0.1578178,7,7,7,0
0.1578178,7,7,7,0
0.1619263,7,7,7,0
0.1619263,7,7,7,0
0.1619263,7,7,7,0
0.1619263,7,7,7,0
0.1619263,7,7,7,0
0.1619263,7,7,7,0
0.165802,7,7,7,0
0.165802,7,7,7,0
0.165802,7,7,7,0
0.165802,7,7,7,0
0.165802,7,7,7,0
0.165802,7,7,7,0
0.1723156,7,7,7,0
0.1723156,7,7,7,0
0.1723156,7,7,7,0
0.1723156,7,7,7,0
0.1723156,7,7,7,0
0.1723156,7,7,7,0
0.1771336,7,7,7,0
0.1771336,7,7,7,0
0.1771336,7,7,7,0
0.1771336,7,7,7,0
0.1771336,7,7,7,0
0.1771336,7,7,7,0
0.1810131,7,7,7,0
0.1810131,7,7,7,0
0.1810131,7,7,7,0
0.1810131,7,7,7,0
0.1810131,7,7,7,0
0.1810131,7,7,7,0
0.1850662,7,7,7,0
0.1850662,7,7,7,0
0.1850662,7,7,7,0
0.1850662,7,7,7,0
0.1850662,7,7,7,0
0.1850662,7,7,7,0
0.1932526,7,7,7,0
0.1932526,7,7,7,0
0.1932526,7,7,7,0
0.1932526,7,7,7,0
0.1932526,7,7,7,0
0.1932526,7,7,7,0
0.1974602,7,7,7,0
0.1974602,7,7,7,0
0.1974602,7,7,7,0
0.1974602,7,7,7,0
0.1974602,7,7,7,0
0.1974602,7,7,7,0
0.2015495,7,7,7,0
0.2015495,7,7,7,0
0.2015495,7,7,7,0
0.2015495,7,7,7,0
0.2015495,7,7,7,0
0.2015495,7,7,7,0
0.2075481,7,7,7,0
0.2075481,7,7,7,0
0.2075481,7,7,7,0
0.2075481,7,7,7,0
0.2075481,7,7,7,0
0.2075481,7,7,7,0
0.2121639,7,7,7,0
0.2121639,7,7,7,0
0.2121639,7,7,7,0
0.2121639,7,7,7,0
0.2121639,7,7,7,0
0.2121639,7,7,7,0
0.215992,7,7,7,0
0.215992,7,7,7,0
0.215992,7,7,7,0
0.215992,7,7,7,0
0.215992,7,7,7,0
0.215992,7,7,7,0
0.222908,7,7,7,0
0.222908,7,7,7,0
0.222908,7,7,7,0
0.222908,7,7,7,0
0.222908,7,7,7,0
0.222908,7,7,7,0
0.2276039,7,7,7,0
0.2276039,7,7,7,0
0.2276039,7,7,7,0
0.2276039,7,7,7,0
0.2276039,7,7,7,0
0.2276039,7,7,7,0
