Time,LorR,Question,Character,Answer_State,Answer_Time
6.699915,left,9999,xx,irrelevant_answer,9999
17.31224,right,5,R,correct,0.610157
22.15431,left,1,L,correct,0.8341446
22.71477,left,9999,xx,irrelevant_answer,9999
26.70282,right,6,R,correct,0.6985474
30.8449,right,3,R,correct,0.7564049
36.45176,right,2,R,correct,0.7066803
40.17167,left,4,L,correct,0.5699768
42.901,right,1,R,correct,0.6484833
47.95998,right,4,R,correct,0.6073914
52.46045,left,3,L,correct,0.6192856
57.65279,left,5,L,correct,0.7439499
62.61621,left,2,L,correct,0.8056259
66.44846,left,6,L,correct,0.6456299
69.84914,right,3,R,correct,0.7643204
72.96611,left,1,L,correct,0.9649429
76.17006,left,2,R,character_mistake,1.034431
79.33886,left,6,L,correct,0.8809814
84.74837,left,4,L,correct,0.5725632
89.23025,left,5,L,correct,0.6924973
94.14877,right,3,R,correct,1.009384
98.8952,left,1,L,correct,0.6839218
104.5113,left,6,L,correct,0.6486359
108.5132,right,5,R,correct,0.7496796
113.1064,left,4,L,correct,0.6156311
118.0777,right
