Time,LorR,Question,Character,Answer_State,Answer_Time
10.20213,left,5,L,correct,0.5344696
13.77423,left,2,L,correct,0.5657272
18.40585,right,6,R,correct,0.8280907
22.26735,left,3,R,character_mistake,0.5903282
22.54761,right,9999,xxx,irrelevant_answer,9999
25.75757,right,1,R,correct,0.6650925
29.58888,right,4,R,correct,0.5620079
35.14037,left,4,L,correct,0.6922684
37.7979,left,6,L,correct,0.6077576
41.76418,left,1,L,correct,0.6615067
45.72601,right,5,R,correct,0.6693268
50.26913,left,3,L,correct,0.6455612
53.57841,right,2,R,correct,0.6786728
59.24583,left,6,L,correct,0.688652
63.0211,right,5,R,correct,0.7658997
67.91817,right,4,R,correct,0.7048187
73.20754,left,1,L,correct,0.9310379
76.30963,left,3,L,correct,0.6803665
79.47408,right,2,R,correct,1.131454
84.63125,left,6,L,correct,0.8662491
88.3393,left,2,L,correct,0.8428268
92.95701,left,1,L,correct,0.8704224
97.36193,left,5,L,correct,1.191345
101.3536,right,4,R,correct,0.9117737
105.7721,right,3,R,correct,0.6322784
109.9524,right,6,R,
