Time,LorR,Question,Character,Answer_State,Answer_Time
18.21445,left,5,L,correct,0.5862541
22.38326,left,6,L,correct,0.774086
27.11368,left,3,L,correct,0.5398941
30.03599,left,4,L,correct,0.6936417
34.30051,right,2,R,correct,0.6558456
38.52079,right,1,R,correct,0.6547127
44.42591,left,2,L,correct,1.002502
50.04436,right,4,R,correct,0.6660995
52.89901,right,3,R,correct,0.6220016
57.33912,right,5,R,correct,0.6380081
61.38084,left,1,L,correct,0.955864
64.37173,right,6,R,correct,0.6984329
67.23459,left,2,L,correct,0.6662979
71.86924,left,3,L,correct,0.6969986
76.09102,left,4,L,correct,1.139389
79.57642,left,5,L,correct,0.9656219
82.52705,left,6,L,correct,0.8228989
86.23278,right,1,R,correct,0.7140732
90.96658,right,2,R,correct,0.7615891
96.27985,right,5,R,correct,0.7688446
96.98576,right,9999,xxx,irrelevant_answer,9999
100.6889,left,6,L,correct,0.7901306
105.7035,right,4,R,correct,0.7185822
108.4869,left,3,L,correct,0.7290497
112.0258,left,1,L,correct,0.9443817
116.3111,right,6,R,correct,
