time,ansTime1,ansTime2,ansTime3,ansTimeAve
0.03044128,7,7,7,0
0.03044128,7,7,7,0
0.03044128,7,7,7,0
0.03044128,7,7,7,0
0.03044128,7,7,7,0
0.03044128,7,7,7,0
0.0690136,7,7,7,0
0.0690136,7,7,7,0
0.0690136,7,7,7,0
0.0690136,7,7,7,0
0.0690136,7,7,7,0
0.0690136,7,7,7,0
0.07730293,7,7,7,0
0.07730293,7,7,7,0
0.07730293,7,7,7,0
0.07730293,7,7,7,0
0.07730293,7,7,7,0
0.07730293,7,7,7,0
0.08751678,7,7,7,0
0.08751678,7,7,7,0
0.08751678,7,7,7,0
0.08751678,7,7,7,0
0.08751678,7,7,7,0
0.08751678,7,7,7,0
0.09194374,7,7,7,0
0.09194374,7,7,7,0
0.09194374,7,7,7,0
0.09194374,7,7,7,0
0.09194374,7,7,7,0
0.09194374,7,7,7,0
0.09655762,7,7,7,0
0.09655762,7,7,7,0
0.09655762,7,7,7,0
0.09655762,7,7,7,0
0.09655762,7,7,7,0
0.09655762,7,7,7,0
0.1059227,7,7,7,0
0.1059227,7,7,7,0
0.1059227,7,7,7,0
0.1059227,7,7,7,0
0.1059227,7,7,7,0
0.1059227,7,7,7,0
0.1100101,7,7,7,0
0.1100101,7,7,7,0
0.1100101,7,7,7,0
0.1100101,7,7,7,0
0.1100101,7,7,7,0
0.1100101,7,7,7,0
0.115202,7,7,7,0
0.115202,7,7,7,0
0.115202,7,7,7,0
0.115202,7,7,7,0
0.115202,7,7,7,0
0.115202,7,7,7,0
0.1201057,7,7,7,0
0.1201057,7,7,7,0
0.1201057,7,7,7,0
0.1201057,7,7,7,0
0.1201057,7,7,7,0
0.1201057,7,7,7,0
0.1259098,7,7,7,0
0.1259098,7,7,7,0
0.1259098,7,7,7,0
0.1259098,7,7,7,0
0.1259098,7,7,7,0
0.1259098,7,7,7,0
0.1314487,7,7,7,0
0.1314487,7,7,7,0
0.1314487,7,7,7,0
0.1314487,7,7,7,0
0.1314487,7,7,7,0
0.1314487,7,7,7,0
0.1362305,7,7,7,0
0.1362305,7,7,7,0
0.1362305,7,7,7,0
0.1362305,7,7,7,0
0.1362305,7,7,7,0
0.1362305,7,7,7,0
0.1412411,7,7,7,0
0.1412411,7,7,7,0
0.1412411,7,7,7,0
0.1412411,7,7,7,0
0.1412411,7,7,7,0
0.1412411,7,7,7,0
0.1471138,7,7,7,0
0.1471138,7,7,7,0
0.1471138,7,7,7,0
0.1471138,7,7,7,0
0.1471138,7,7,7,0
0.1471138,7,7,7,0
0.152153,7,7,7,0
0.152153,7,7,7,0
0.152153,7,7,7,0
0.152153,7,7,7,0
0.152153,7,7,7,0
0.152153,7,7,7,0
0.1570892,7,7,7,0
0.1570892,7,7,7,0
0.1570892,7,7,7,0
0.1570892,7,7,7,0
0.1570892,7,7,7,0
0.1570892,7,7,7,0
0.162096,7,7,7,0
0.162096,7,7,7,0
0.162096,7,7,7,0
0.162096,7,7,7,0
0.162096,7,7,7,0
0.162096,7,7,7,0
0.1681118,7,7,7,0
0.1681118,7,7,7,0
0.1681118,7,7,7,0
0.1681118,7,7,7,0
0.1681118,7,7,7,0
0.1681118,7,7,7,0
0.1729832,7,7,7,0
0.1729832,7,7,7,0
0.1729832,7,7,7,0
0.1729832,7,7,7,0
0.1729832,7,7,7,0
0.1729832,7,7,7,0
0.1779194,7,7,7,0
0.1779194,7,7,7,0
0.1779194,7,7,7,0
0.1779194,7,7,7,0
0.1779194,7,7,7,0
0.1779194,7,7,7,0
0.1845856,7,7,7,0
0.1845856,7,7,7,0
0.1845856,7,7,7,0
0.1845856,7,7,7,0
0.1845856,7,7,7,0
0.1845856,7,7,7,0
0.1898079,7,7,7,0
0.1898079,7,7,7,0
0.1898079,7,7,7,0
0.1898079,7,7,7,0
0.1898079,7,7,7,0
0.1898079,7,7,7,0
0.1959572,7,7,7,0
0.1959572,7,7,7,0
0.1959572,7,7,7,0
0.1959572,7,7,7,0
0.1959572,7,7,7,0
0.1959572,7,7,7,0
0.2017307,7,7,7,0
0.2017307,7,7,7,0
0.2017307,7,7,7,0
0.2017307,7,7,7,0
0.2017307,7,7,7,0
0.2017307,7,7,7,0
0.2088814,7,7,7,0
0.2088814,7,7,7,0
0.2088814,7,7,7,0
0.2088814,7,7,7,0
0.2088814,7,7,7,0
0.2088814,7,7,7,0
0.2149944,7,7,7,0
0.2149944,7,7,7,0
0.2149944,7,7,7,0
0.2149944,7,7,7,0
0.2149944,7,7,7,0
0.2149944,7,7,7,0
0.2212734,7,7,7,0
0.2212734,7,7,7,0
0.2212734,7,7,7,0
0.2212734,7,7,7,0
0.2212734,7,7,7,0
0.2212734,7,7,7,0
0.2278709,7,7,7,0
0.2278709,7,7,7,0
0.2278709,7,7,7,0
0.2278709,7,7,7,0
0.2278709,7,7,7,0
0.2278709,7,7,7,0
0.2337971,7,7,7,0
0.2337971,7,7,7,0
0.2337971,7,7,7,0
0.2337971,7,7,7,0
0.2337971,7,7,7,0
0.2337971,7,7,7,0
0.2392654,7,7,7,0
0.2392654,7,7,7,0
0.2392654,7,7,7,0
0.2392654,7,7,7,0
0.2392654,7,7,7,0
0.2392654,7,7,7,0
0.244421,7,7,7,0
0.244421,7,7,7,0
0.244421,7,7,7,0
0.244421,7,7,7,0
0.244421,7,7,7,0
0.244421,7,7,7,0
0.2501297,7,7,7,0
0.2501297,7,7,7,0
0.2501297,7,7,7,0
0.2501297,7,7,7,0
0.2501297,7,7,7,0
0.2501297,7,7,7,0
0.2654858,7,7,7,0
0.2654858,7,7,7,0
0.2654858,7,7,7,0
0.2654858,7,7,7,0
0.2654858,7,7,7,0
0.2654858,7,7,7,0
0.271904,7,7,7,0
0.271904,7,7,7,0
0.271904,7,7,7,0
0.271904,7,7,7,0
0.271904,7,7,7,0
0.271904,7,7,7,0
0.2760811,7,7,7,0
0.2760811,7,7,7,0
0.2760811,7,7,7,0
0.2760811,7,7,7,0
0.2760811,7,7,7,0
0.2760811,7,7,7,0
0.2813377,7,7,7,0
0.2813377,7,7,7,0
0.2813377,7,7,7,0
0.2813377,7,7,7,0
0.2813377,7,7,7,0
0.2813377,7,7,7,0
0.2908726,7,7,7,0
0.2908726,7,7,7,0
0.2908726,7,7,7,0
0.2908726,7,7,7,0
0.2908726,7,7,7,0
0.2908726,7,7,7,0
0.2965984,7,7,7,0
0.2965984,7,7,7,0
0.2965984,7,7,7,0
