time,catch_amount,area_diameter,area_pos.x,area_pos.z,sardine_pos.x,sardine_pos.z
18.26289,1,1.3,-2.426997,0.6687229,-2.448001,0.7291617
22.80117,2,1.3,0.09676219,-1.323395,0.1380828,-1.475078
28.50615,3,1.3,-2.681393,-1.38258,-2.440359,-1.117481
32.53849,4,1.3,-1.095248,-1.32305,-1.153914,-1.299397
37.92266,5,1.3,-2.369386,-0.8668627,-2.424958,-0.9404235
44.22333,6,1.3,-2.666376,-1.490956,-2.214606,-1.352856
47.94757,7,1.3,1.590562,0.02510431,2.022671,0.07342944
52.67251,8,1.3,-0.5831447,-0.5882742,-0.7912218,-0.6277412
55.61126,9,1.3,0.8942009,1.231208,0.3457743,1.104661
60.89749,10,1.3,-0.247381,-1.01694,0.06102148,-0.9728289
69.32079,11,1.3,-0.8744016,0.01625764,-0.8490666,0.1012315
77.37703,12,1.3,1.051216,0.6161867,1.179793,0.5356313
80.41873,13,1.3,0.6514108,-0.4624873,0.5070872,-0.2701841
88.73788,14,1.3,-1.295779,-1.401397,-1.046605,-1.329474
92.79614,15,1.3,-0.8521579,-0.9958792,-0.6841561,-0.5791193
97.6116,16,1.3,-0.7412072,-0.5934582,-0.6461123,-0.5621452
102.4033,17,1.3,-1.23006
