time,catch_amount,area_diameter,area_pos.x,area_pos.z,sardine_pos.x,sardine_pos.z
33.40046,1,1.1,-2.397019,-1.128911,-2.374357,-0.8239334
44.01779,2,1.1,-1.648499,0.9987708,-1.151842,1.119848
54.99619,3,1.1,-0.2119873,-0.6185268,-0.3389861,-0.8834906
59.26393,4,1.1,0.3434398,-0.7781616,0.2029571,-0.962894
65.16132,5,1.1,-0.4201497,-0.7522187,-0.2034073,-0.7551673
67.57549,6,1.1,1.707628,1.142519,1.712461,1.447958
72.41463,7,1.1,-0.7551749,-0.4014448,-0.6651473,-0.4588219
76.3877,8,1.1,-1.359744,-1.249014,-1.18036,-1.265376
80.4142,9,1.1,-1.709787,-1.033726,-1.812572,-1.173778
85.25766,10,1.1,-0.3661953,-1.017384,-0.1248045,-1.057153
89.74063,11,1.1,-0.05008423,-1.307622,0.2226579,-1.429928
93.44492,12,1.1,0.3354331,-1.326901,0.4386748,-1.191266
97.41705,13,1.1,0.5203786,-1.025896,0.593668,-0.929672
104.7269,14,1.1,-2.47947,1.32964,-2.456428,1.254052
117.8317,15,1.1,-2.232933,0.8418416,-2.403974,1.107787
121.4272,16,1.1,2.17281,-0.4181825,1.887053,-0.3540015
126.0171,17,1.1,-1.860579,-1.019113
