Time,LorR,Question,Character,Answer_State,Answer_Time
47.319,right,9999,xxx,irrelevant_answer,9999
51.09599,left,4,L,correct,1.280121
55.8089,right,1,R,correct,0.8233871
59.68248,right,6,R,correct,0.833168
64.48046,left,3,L,correct,1.170616
70.65238,right,5,L,character_mistake,1.525223
70.84467,left,9999,xx,irrelevant_answer,9999
73.79747,right,4,R,correct,0.2301941
79.59174,right,3,R,correct,0.9783936
87.99196,left,2,L,correct,0.4587021
91.17649,left,1,L,correct,0.5537338
96.09341,right,2,R,correct,0.6590652
98.85912,right,9999,xxx,irrelevant_answer,9999
99.79286,right,3,R,correct,0.8328629
105.9834,left,6,L,correct,1.522163
114.3665,right,1,R,correct,0.6081696
119.1999,right,4,R,correct,0.8318939
122.2236,right,1,R,correct,0.5956116
127.8397,right,3,R,correct,1.280716
132.8945,left,6,L,correct,1.026245
136.6079,left,5,L,correct,0.7454376
138.2298,right,9999,xxx,irrelevant_answer,9999
139.9897,right,9999,xxx,irrelevant_answer,9999
141.9675,left,2,R,character_mistake,0.8441467
142.2261,right,9999,xxx,irrelevant_answer,9999
144.3198,right,9999,xxx,irrelevant_answer,9999
145.4365,right,4,R,correct,1.006714
148.4119,left,3,L,correct,0.8851624
151.2001,right,2,L,character_mistake,0.2644806
154.6909,right,4,L,character_mistake,0.5028229
154.8738,left,9999,xx,irrelevant_answer,9999
159.7001,left,1,L,correct,0.5652313
164.5804,right,5,R,correct,0.6402283
169.2669,right,6,R,correct,0.6161346
174.9503,left,6,L,correct,0.7546844
180.78,left,1,L,correct,0.952713
184.7013,right,5,R,correct,0.6186829
187.9896,right,2,R,correct,0.6238861
191.6035,left,3,L,correct,0.8108215
197.1543,right,4,R,correct,0.825058
200.3151,right,5,R,correct,0.8364258
204.752,right,6,R,correct,0.1001282
210.1048,right,3,R,correct,0.5147705
214.1832,left,2,L,correct,0.6452332
219.8025,right,1,R,correct,0.603775
224.9028,right,4,R,correct,0.6612701
229.3948,left,1,L,correct,0.6934967
232.5332,left,5,L,correct,0.8141632
236.598,left,6,L,correct,1.924805
240.1687,right,2,R,correct,0.6231689
246.9653,left,4,L,correct,1.854095
250.7644,right,3,L,character_mistake,0.9134521
255.8169,left,6,R,character_mistake,1.616852
259.4372,right,5,R,correct,0.584198
262.2625,right,3,R,correct,0.7436829
265.6634,right,1,R,correct,0.5722046
271.0662,left,4,L,correct,0.9154358
275.9309,left,2,L,correct,0.8262634
278.6858,right,5,R,correct,0.6156006
283.6628,left,4,L,correct,0.9103088
288.0836,right,2,R,correct,0.532959
294.2748,right,9999,xxx,irrelevant_answer,9999
299.0804,left,1,L,correct,1.494171
303.9042,left,6,L,correct,0.7770386
308.8465,left,3,L,correct,0.6329651
317.2352,right,1,R,correct,0.5222168
321.2983,left,2,L,correct,0.6818542
324.7001,right,4,R,correct,0.7239685
326.0037,right,9999,xxx,irrelevant_answer,9999
329.3344,left,5,L,correct,0.6653137
334.2285,right,5,R,correct,0.6239319
338.444,right,3,R,correct,0.6550903
342.1996,right,2,R,correct,1.073883
342.8034,right,9999,xxx,irrelevant_answer,9999
346.6987,left,6,L,correct,0.7441711
351.3318,right,4,R,correct,0.6181641
355.4574,right,1,R,correct,0.6517334
359.2115,right,3,R,correct,0.663269
363.2523,right,6,L,character_mistake,0.6474304
366.266,left,4,L,correct,0.561554
371.6301,left,2,L,correct,0.5289307
376.9956,right,5,R,correct,0.6019287
381.0482,left,1,L,correct,0.6886597
390.8294,right,1,R,correct,0.6444092
393.5927,right,4,R,correct,0.5527649
396.8622,left,3,L,correct,0.6922607
401.4198,right,6,R,correct,0.7098389
406.1414,right,2,R,correct,0.8268738
412.5816,right,9999,xxx,irrelevant_answer,9999
415.2703,left,6,L,correct,0.8170471
420.0881,left,3,L,correct,0.7135315
424.0677,left,2,L,correct,0.6673279
428.6507,right,4,R,correct,0.579071
431.8195,right,5,R,correct,0.6343079
436.4573,right,6,R,correct,1.191345
440.1212,left,3,L,correct,0.6791077
443.7817,right,2,R,correct,0.5924683
448.0128,right,5,L,character_mistake,0.8225403
448.3017,left,9999,xx,irrelevant_answer,9999
452.1826,left,4,L,correct,0.9344177
456.1777,left,1,L,correct,0.7485657
460.562,left,2,L,correct,0.8548889
466.4875,right,3,R,correct,0.9481812
471.9592,right,4,R,correct,0.8814697
473.2806,right,9999,xxx,irrelevant_answer,9999
476.151,right,1,R,correct,0.8883362
479.7066,right,5,R,correct,0.8018799
486.3712,left,6,L,correct,1.814392
489.7881,left,3,L,correct,0.7883301
495.5271,left,1,L,correct,0.890686
500.1046,right,5,R,correct,0.6956787
503.3518,right,4,R,correct,1.020264
506.4982,left,6,L,correct,0.885498
511.8147,left,2,L,correct,0.805481
515.261,right,2,R,correct,0.7758179
519.8109,left,5,L,correct,0.7131348
522.9101,right,4,R,correct,0.7079468
528.4905,right,1,R,correct,0.6690674
531.8806,right,3,L,character_mistake,1.177185
532.0167,left,9999,xx,irrelevant_answer,9999
537.1686,left,6,L,correct,0.7455444
541.7205,left,4,L,correct,0.6159668
546.3091,left,1,L,correct,0.9727173
550.4152,right,3,R,correct,0.6248169
554.6459,left,2,L,correct,1.319214
559.7673,right,6,R,correct,0.7593384
564.0138,right,5,R,correct,0.6329956
568.627,right,2,R,correct,0.5767212
573.7003,right,5,R,correct,0.6044312
578.2642,left,4,L,corr
