Time,LorR,Question,Character,Answer_State,Answer_Time
33.36991,left,2,L,correct,0.9611092
38.79509,right,1,R,correct,0.5636673
43.0519,left,5,L,correct,0.7767944
48.66957,right,6,R,correct,1.020111
53.28175,left,4,L,correct,0.9112015
58.59507,left,3,L,correct,0.7917938
62.21369,left,1,L,correct,0.8996658
65.7318,right,4,R,correct,0.9652481
69.62193,right,2,R,correct,0.8073425
74.257,right,5,R,correct,0.7321548
77.68468,right,3,R,correct,1.309441
82.98918,left,6,L,correct,1.122055
88.15513,left,1,L,correct,1.233192
93.3118,right,2,R,correct,1.382118
96.86581,left,5,L,correct,0.8972168
100.6341,right,4,L,character_mistake,1.19545
101.0359,right,9999,xxx,irrelevant_answer,9999
104.22,left,6,L,correct,0.9903336
110.2678,left,3,R,character_mistake,1.10878
114.6542,right,1,R,correct,0.7467499
119.2841,right,5,R,correct,0.9470215
119.6915,right,9999,xxx,irrelevant_answer,9999
124.7568,left,4,L,correct,1.079514
130.8343,right,6,R,correct,1.194397
134.9404,left,2,L,correct,1.186539
141.4182,l
