time,ansTime1,ansTime2,ansTime3,ansTimeAve
0.02791595,7,7,7,0
0.02791595,7,7,7,0
0.02791595,7,7,7,0
0.02791595,7,7,7,0
0.02791595,7,7,7,0
0.02791595,7,7,7,0
0.08878136,7,7,7,0
0.08878136,7,7,7,0
0.08878136,7,7,7,0
0.08878136,7,7,7,0
0.08878136,7,7,7,0
0.08878136,7,7,7,0
0.1116982,7,7,7,0
0.1116982,7,7,7,0
0.1116982,7,7,7,0
0.1116982,7,7,7,0
0.1116982,7,7,7,0
0.1116982,7,7,7,0
0.1464596,7,7,7,0
0.1464596,7,7,7,0
0.1464596,7,7,7,0
0.1464596,7,7,7,0
0.1464596,7,7,7,0
0.1464596,7,7,7,0
0.1589279,7,7,7,0
0.1589279,7,7,7,0
0.1589279,7,7,7,0
0.1589279,7,7,7,0
0.1589279,7,7,7,0
0.1589279,7,7,7,0
0.1645298,7,7,7,0
0.1645298,7,7,7,0
0.1645298,7,7,7,0
0.1645298,7,7,7,0
0.1645298,7,7,7,0
0.1645298,7,7,7,0
0.1772823,7,7,7,0
0.1772823,7,7,7,0
0.1772823,7,7,7,0
0.1772823,7,7,7,0
0.1772823,7,7,7,0
0.1772823,7,7,7,0
0.19104,7,7,7,0
0.19104,7,7,7,0
0.19104,7,7,7,0
0.19104,7,7,7,0
0.19104,7,7,7,0
0.19104,7,7,7,0
0.1966209,7,7,7,0
0.1966209,7,7,7,0
0.1966209,7,7,7,0
0.1966209,7,7,7,0
0.1966209,7,7,7,0
0.1966209,7,7,7,0
0.2159348,7,7,7,0
0.2159348,7,7,7,0
0.2159348,7,7,7,0
0.2159348,7,7,7,0
0.2159348,7,7,7,0
0.2159348,7,7,7,0
0.2267303,7,7,7,0
0.2267303,7,7,7,0
0.2267303,7,7,7,0
0.2267303,7,7,7,0
0.2267303,7,7,7,0
0.2267303,7,7,7,0
0.2443104,7,7,7,0
0.2443104,7,7,7,0
0.2443104,7,7,7,0
0.2443104,7,7,7,0
0.2443104,7,7,7,0
0.2443104,7,7,7,0
0.261837,7,7,7,0
0.261837,7,7,7,0
0.261837,7,7,7,0
0.261837,7,7,7,0
0.261837,7,7,7,0
0.261837,7,7,7,0
0.2760124,7,7,7,0
0.2760124,7,7,7,0
0.2760124,7,7,7,0
0.2760124,7,7,7,0
0.2760124,7,7,7,0
0.2760124,7,7,7,0
0.2930222,7,7,7,0
0.2930222,7,7,7,0
0.2930222,7,7,7,0
0.2930222,7,7,7,0
0.2930222,7,7,7,0
0.2930222,7,7,7,0
0.3087196,7,7,7,0
0.3087196,7,7,7,0
0.3087196,7,7,7,0
0.3087196,7,7,7,0
0.3087196,7,7,7,0
0.3087196,7,7,7,0
0.3251114,7,7,7,0
0.3251114,7,7,7,0
0.3251114,7,7,7,0
0.3251114,7,7,7,0
0.3251114,7,7,7,0
0.3251114,7,7,7,0
0.3564911,7,7,7,0
0.3564911,7,7,7,0
0.3564911,7,7,7,0
0.3564911,7,7,7,0
0.3564911,7,7,7,0
0.3564911,7,7,7,0
0.3824806,7,7,7,0
0.3824806,7,7,7,0
0.3824806,7,7,7,0
0.3824806,7,7,7,0
0.3824806,7,7,7,0
0.3824806,7,7,7,0
0.4091988,7,7,7,0
0.4091988,7,7,7,0
0.4091988,7,7,7,0
0.4091988,7,7,7,0
0.4091988,7,7,7,0
0.4091988,7,7,7,0
0.4219151,7,7,7,0
0.4219151,7,7,7,0
0.4219151,7,7,7,0
0.4219151,7,7,7,0
0.4219151,7,7,7,0
0.4219151,7,7,7,0
0.4416828,7,7,7,0
0.4416828,7,7,7,0
0.4416828,7,7,7,0
0.4416828,7,7,7,0
0.4416828,7,7,7,0
0.4416828,7,7,7,0
0.4622707,7,7,7,0
0.4622707,7,7,7,0
0.4622707,7,7,7,0
0.4622707,7,7,7,0
0.4622707,7,7,7,0
0.4622707,7,7,7,0
0.4763889,7,7,7,0
0.4763889,7,7,7,0
0.4763889,7,7,7,0
0.4763889,7,7,7,0
0.4763889,7,7,7,0
0.4763889,7,7,7,0
0.4920406,7,7,7,0
0.4920406,7,7,7,0
0.4920406,7,7,7,0
0.4920406,7,7,7,0
0.4920406,7,7,7,0
0.4920406,7,7,7,0
0.5061741,7,7,7,0
0.5061741,7,7,7,0
0.5061741,7,7,7,0
0.5061741,7,7,7,0
0.5061741,7,7,7,0
0.5061741,7,7,7,0
0.5287552,7,7,7,0
0.5287552,7,7,7,0
0.5287552,7,7,7,0
0.5287552,7,7,7,0
0.5287552,7,7,7,0
0.5287552,7,7,7,0
0.5437355,7,7,7,0
0.5437355,7,7,7,0
0.5437355,7,7,7,0
0.5437355,7,7,7,0
0.5437355,7,7,7,0
0.5437355,7,7,7,0
0.5622902,7,7,7,0
0.5622902,7,7,7,0
0.5622902,7,7,7,0
0.5622902,7,7,7,0
0.5622902,7,7,7,0
0.5622902,7,7,7,0
0.5746021,7,7,7,0
0.5746021,7,7,7,0
0.5746021,7,7,7,0
0.5746021,7,7,7,0
0.5746021,7,7,7,0
0.5746021,7,7,7,0
0.5908585,7,7,7,0
0.5908585,7,7,7,0
0.5908585,7,7,7,0
0.5908585,7,7,7,0
0.5908585,7,7,7,0
0.5908585,7,7,7,0
0.596674,7,7,7,0
0.596674,7,7,7,0
0.596674,7,7,7,0
0.596674,7,7,7,0
0.596674,7,7,7,0
0.596674,7,7,7,0
0.6113834,7,7,7,0
0.6113834,7,7,7,0
0.6113834,7,7,7,0
0.6113834,7,7,7,0
0.6113834,7,7,7,0
0.6113834,7,7,7,0
0.6279106,7,7,7,0
0.6279106,7,7,7,0
0.6279106,7,7,7,0
0.6279106,7,7,7,0
0.6279106,7,7,7,0
0.6279106,7,7,7,0
0.6478481,7,7,7,0
0.6478481,7,7,7,0
0.6478481,7,7,7,0
0.6478481,7,7,7,0
0.6478481,7,7,7,0
0.6478481,7,7,7,0
0.6656876,7,7,7,0
0.6656876,7,7,7,0
0.6656876,7,7,7,0
0.6656876,7,7,7,0
0.6656876,7,7,7,0
0.6656876,7,7,7,0
0.6828442,7,7,7,0
0.6828442,7,7,7,0
0.6828442,7,7,7,0
0.6828442,7,7,7,0
0.6828442,7,7,7,0
0.6828442,7,7,7,0
0.7019691,7,7,7,0
0.7019691,7,7,7,0
0.7019691,7,7,7,0
0.7019691,7,7,7,0
0.7019691,7,7,7,0
0.7019691,7,7,7,0
0.7191162,7,7,7,0
0.7191162,7,7,7,0
0.7191162,7,7,7,0
0.7191162,7,7,7,0
0.7191162,7,7,7,0
0.7191162,7,7,7,0
0.7355995,7,7,7,0
0.7355995,7,7,7,0
0.7355995,7,7,7,0
0.7355995,7,7,7,0
0.7355995,7,7,7,0
0.7355995,7,7,7,0
0.7416973,7,7,7,0
0.7416973,7,7,7,0
0.7416973,7,7,7,0
0.7416973,7,7,7,0
0.7416973,7,7,7,0
0.7416973,7,7,7,0
0.7563419,7,7,7,0
0.7563419,7,7,7,0
0.7563419,7,7,7,0
0.7563419,7,7,7,0
0.7563419,7,7,7,0
0.7563419,7,7,7,0
0.77421,7,7,7,0
0.77421,7,7,7,0
0.77421,7,7,7,0
0.77421,7,7,7,0
0.77421,7,7,7,0
0.77421,7,7,7,0
0.7875137,7,7,7,0
0.7875137,7,7,7,0
0.7875137,7,7,7,0
0.7875137,7,7,7,0
0.7875137,7,7,7,0
0.7875137,7,7,7,0
0.7942524,7,7,7,0
0.7942524,7,7,7,0
0.7942524,7,7,7,0
0.7942524,7,7,7,0
0.7942524,7,7,7,0
0.7942524,7,7,7,0
0.8094368,7,7,7,0
0.8094368,7,7,7,0
0.8094368,7,7,7,0
0.8094368,7,7,7,0
0.8094368,7,7,7,0
0.8094368,7,7,7,0
0.8248825,7,7,7,0
0.8248825,7,7,7,0
0.8248825,7,7,7,0
0.8248825,7,7,7,0
0.8248825,7,7,7,0
0.8248825,7,7,7,0
0.8365726,7,7,7,0
0.8365726,7,7,7,0
0.8365726,7,7,7,0
0.8365726,7,7,7,0
0.8365726,7,7,7,0
0.8365726,7,7,7,0
0.8433132,7,7,7,0
0.8433132,7,7,7,0
0.8433132,7,7,7,0
0.8433132,7,7,7,0
0.8433132,7,7,7,0
0.8433132,7,7,7,0
0.8571358,7,7,7,0
0.8571358,7,7,7,0
0.8571358,7,7,7,0
0.8571358,7,7,7,0
0.8571358,7,7,7,0
0.8571358,7,7,7,0
0.8627529,7,7,7,0
0.8627529,7,7,7,0
0.8627529,7,7,7,0
0.8627529,7,7,7,0
0.8627529,7,7,7,0
0.8627529,7,7,7,0
0.8750076,7,7,7,0
0.8750076,7,7,7,0
0.8750076,7,7,7,0
0.8750076,7,7,7,0
0.8750076,7,7,7,0
0.8750076,7,7,7,0
0.8865929,7,7,7,0
0.8865929,7,7,7,0
0.8865929,7,7,7,0
0.8865929,7,7,7,0
0.8865929,7,7,7,0
0.8865929,7,7,7,0
0.8913994,7,7,7,0
0.8913994,7,7,7,0
0.8913994,7,7,7,0
0.8913994,7,7,7,0
0.8913994,7,7,7,0
0.8913994,7,7,7,0
0.9035816,7,7,7,0
0.9035816,7,7,7,0
0.9035816,7,7,7,0
0.9035816,7,7,7,0
0.9035816,7,7,7,0
0.9035816,7,7,7,0
0.910799,7,7,7,0
0.910799,7,7,7,0
0.910799,7,7,7,0
0.910799,7,7,7,0
0.910799,7,7,7,0
0.910799,7,7,7,0
0.924509,7,7,7,0
0.924509,7,7,7,0
0.924509,7,7,7,0
0.924509,7,7,7,0
0.924509,7,7,7,0
0.924509,7,7,7,0
0.9361801,7,7,7,0
0.9361801,7,7,7,0
0.9361801,7,7,7,0
0.9361801,7,7,7,0
0.9361801,7,7,7,0
0.9361801,7,7,7,0
0.9438725,7,7,7,0
0.9438725,7,7,7,0
0.9438725,7,7,7,0
0.9438725,7,7,7,0
0.9438725,7,7,7,0
0.9438725,7,7,7,0
0.9576607,7,7,7,0
0.9576607,7,7,7,0
0.9576607,7,7,7,0
0.9576607,7,7,7,0
0.9576607,7,7,7,0
0.9576607,7,7,7,0
0.9733124,7,7,7,0
0.9733124,7,7,7,0
0.9733124,7,7,7,0
0.9733124,7,7,7,0
0.9733124,7,7,7,0
0.9733124,7,7,7,0
0.9876499,7,7,7,0
0.9876499,7,7,7,0
0.9876499,7,7,7,0
0.9876499,7,7,7,0
0.9876499,7,7,7,0
0.9876499,7,7,7,0
0.9931812,7,7,7,0
0.9931812,7,7,7,0
0.9931812,7,7,7,0
0.9931812,7,7,7,0
0.9931812,7,7,7,0
0.9931812,7,7,7,0
1.00882,7,7,7,0
1.00882,7,7,7,0
1.00882,7,7,7,0
1.00882,7,7,7,0
1.00882,7,7,7,0
1.00882,7,7,7,0
1.027969,7,7,7,0
1.027969,7,7,7,0
1.027969,7,7,7,0
1.027969,7,7,7,0
1.027969,7,7,7,0
1.027969,7,7,7,0
1.04911,7,7,7,0
1.04911,7,7,7,0
1.04911,7,7,7,0
1.04911,7,7,7,0
1.04911,7,7,7,0
1.04911,7,7,7,0
1.065052,7,7,7,0
1.065052,7,7,7,0
1.065052,7,7,7,0
1.065052,7,7,7,0
1.065052,7,7,7,0
1.065052,7,7,7,0
1.082518,7,7,7,0
1.082518,7,7,7,0
1.082518,7,7,7,0
1.082518,7,7,7,0
1.082518,7,7,7,0
1.082518,7,7,7,0
1.097073,7,7,7,0
1.097073,7,7,7,0
1.097073,7,7,7,0
1.097073,7,7,7,0
1.097073,7,7,7,0
1.097073,7,7,7,0
1.113895,7,7,7,0
1.113895,7,7,7,0
1.113895,7,7,7,0
1.113895,7,7,7,0
1.113895,7,7,7,0
1.113895,7,7,7,0
1.134264,7,7,7,0
1.134264,7,7,7,0
1.134264,7,7,7,0
1.134264,7,7,7,0
1.134264,7,7,7,0
1.134264,7,7,7,0
1.148613,7,7,7,0
1.148613,7,7,7,0
1.148613,7,7,7,0
1.148613,7,7,7,0
1.148613,7,7,7,0
1.148613,7,7,7,0
1.165306,7,7,7,0
1.165306,7,7,7,0
1.165306,7,7,7,0
1.165306,7,7,7,0
1.165306,7,7,7,0
1.165306,7,7,7,0
1.170673,7,7,7,0
1.170673,7,7,7,0
1.170673,7,7,7,0
1.170673,7,7,7,0
1.170673,7,7,7,0
1.170673,7,7,7,0
1.185537,7,7,7,0
1.185537,7,7,7,0
1.185537,7,7,7,0
1.185537,7,7,7,0
1.185537,7,7,7,0
1.185537,7,7,7,0
1.200508,7,7,7,0
1.200508,7,7,7,0
1.200508,7,7,7,0
1.200508,7,7,7,0
1.200508,7,7,7,0
1.200508,7,7,7,0
1.213583,7,7,7,0
1.213583,7,7,7,0
1.213583,7,7,7,0
1.213583,7,7,7,0
1.213583,7,7,7,0
1.213583,7,7,7,0
1.218531,7,7,7,0
1.218531,7,7,7,0
1.218531,7,7,7,0
1.218531,7,7,7,0
1.218531,7,7,7,0
1.218531,7,7,7,0
1.235571,7,7,7,0
1.235571,7,7,7,0
1.235571,7,7,7,0
1.235571,7,7,7,0
1.235571,7,7,7,0
1.235571,7,7,7,0
1.252172,7,7,7,0
1.252172,7,7,7,0
1.252172,7,7,7,0
1.252172,7,7,7,0
1.252172,7,7,7,0
1.252172,7,7,7,0
1.256907,7,7,7,0
1.256907,7,7,7,0
1.256907,7,7,7,0
1.256907,7,7,7,0
1.256907,7,7,7,0
1.256907,7,7,7,0
1.272739,7,7,7,0
1.272739,7,7,7,0
1.272739,7,7,7,0
1.272739,7,7,7,0
1.272739,7,7,7,0
1.272739,7,7,7,0
1.284943,7,7,7,0
1.284943,7,7,7,0
1.284943,7,7,7,0
1.284943,7,7,7,0
1.284943,7,7,7,0
1.284943,7,7,7,0
1.290276,7,7,7,0
1.290276,7,7,7,0
1.290276,7,7,7,0
1.290276,7,7,7,0
1.290276,7,7,7,0
1.290276,7,7,7,0
1.304478,7,7,7,0
1.304478,7,7,7,0
1.304478,7,7,7,0
1.304478,7,7,7,0
1.304478,7,7,7,0
1.304478,7,7,7,0
1.309261,7,7,7,0
1.309261,7,7,7,0
1.309261,7,7,7,0
1.309261,7,7,7,0
1.309261,7,7,7,0
1.309261,7,7,7,0
1.322823,7,7,7,0
1.322823,7,7,7,0
1.322823,7,7,7,0
1.322823,7,7,7,0
1.322823,7,7,7,0
1.322823,7,7,7,0
1.327406,7,7,7,0
1.327406,7,7,7,0
1.327406,7,7,7,0
1.327406,7,7,7,0
1.327406,7,7,7,0
1.327406,7,7,7,0
1.341871,7,7,7,0
1.341871,7,7,7,0
1.341871,7,7,7,0
1.341871,7,7,7,0
1.341871,7,7,7,0
1.341871,7,7,7,0
1.357712,7,7,7,0
1.357712,7,7,7,0
1.357712,7,7,7,0
1.357712,7,7,7,0
1.357712,7,7,7,0
1.357712,7,7,7,0
1.383423,7,7,7,0
1.383423,7,7,7,0
1.383423,7,7,7,0
1.383423,7,7,7,0
1.383423,7,7,7,0
1.383423,7,7,7,0
1.388239,7,7,7,0
1.388239,7,7,7,0
1.388239,7,7,7,0
1.388239,7,7,7,0
1.388239,7,7,7,0
1.388239,7,7,7,0
1.398127,7,7,7,0
1.398127,7,7,7,0
1.398127,7,7,7,0
1.398127,7,7,7,0
1.398127,7,7,7,0
1.398127,7,7,7,0
1.403053,7,7,7,0
1.403053,7,7,7,0
1.403053,7,7,7,0
1.403053,7,7,7,0
1.403053,7,7,7,0
1.403053,7,7,7,0
1.408651,7,7,7,0
1.408651,7,7,7,0
1.408651,7,7,7,0
1.408651,7,7,7,0
1.408651,7,7,7,0
1.408651,7,7,7,0
1.413555,7,7,7,0
1.413555,7,7,7,0
1.413555,7,7,7,0
1.413555,7,7,7,0
1.413555,7,7,7,0
1.413555,7,7,7,0
1.427742,7,7,7,0
1.427742,7,7,7,0
1.427742,7,7,7,0
1.427742,7,7,7,0
1.427742,7,7,7,0
1.427742,7,7,7,0
1.442965,7,7,7,0
1.442965,7,7,7,0
1.442965,7,7,7,0
1.442965,7,7,7,0
1.442965,7,7,7,0
1.442965,7,7,7,0
1.456152,7,7,7,0
1.456152,7,7,7,0
1.456152,7,7,7,0
1.456152,7,7,7,0
1.456152,7,7,7,0
1.456152,7,7,7,0
1.461838,7,7,7,0
1.461838,7,7,7,0
1.461838,7,7,7,0
1.461838,7,7,7,0
1.461838,7,7,7,0
1.461838,7,7,7,0
1.477261,7,7,7,0
1.477261,7,7,7,0
1.477261,7,7,7,0
1.477261,7,7,7,0
1.477261,7,7,7,0
1.477261,7,7,7,0
1.495644,7,7,7,0
1.495644,7,7,7,0
1.495644,7,7,7,0
1.495644,7,7,7,0
1.495644,7,7,7,0
1.495644,7,7,7,0
1.514212,7,7,7,0
1.514212,7,7,7,0
1.514212,7,7,7,0
1.514212,7,7,7,0
1.514212,7,7,7,0
1.514212,7,7,7,0
1.526871,7,7,7,0
1.526871,7,7,7,0
1.526871,7,7,7,0
1.526871,7,7,7,0
1.526871,7,7,7,0
1.526871,7,7,7,0
1.543375,7,7,7,0
1.543375,7,7,7,0
1.543375,7,7,7,0
1.543375,7,7,7,0
1.543375,7,7,7,0
1.543375,7,7,7,0
1.549894,7,7,7,0
1.549894,7,7,7,0
1.549894,7,7,7,0
1.549894,7,7,7,0
1.549894,7,7,7,0
1.549894,7,7,7,0
1.56522,7,7,7,0
1.56522,7,7,7,0
1.56522,7,7,7,0
1.56522,7,7,7,0
1.56522,7,7,7,0
1.56522,7,7,7,0
1.581024,7,7,7,0
1.581024,7,7,7,0
1.581024,7,7,7,0
1.581024,7,7,7,0
1.581024,7,7,7,0
1.581024,7,7,7,0
1.596819,7,7,7,0
1.596819,7,7,7,0
1.596819,7,7,7,0
1.596819,7,7,7,0
1.596819,7,7,7,0
1.596819,7,7,7,0
1.601639,7,7,7,0
1.601639,7,7,7,0
1.601639,7,7,7,0
1.601639,7,7,7,0
1.601639,7,7,7,0
1.601639,7,7,7,0
1.606026,7,7,7,0
1.606026,7,7,7,0
1.606026,7,7,7,0
1.606026,7,7,7,0
1.606026,7,7,7,0
1.606026,7,7,7,0
1.610189,7,7,7,0
1.610189,7,7,7,0
1.610189,7,7,7,0
1.610189,7,7,7,0
1.610189,7,7,7,0
1.610189,7,7,7,0
1.623812,7,7,7,0
1.623812,7,7,7,0
1.623812,7,7,7,0
1.623812,7,7,7,0
1.623812,7,7,7,0
1.623812,7,7,7,0
1.62804,7,7,7,0
1.62804,7,7,7,0
1.62804,7,7,7,0
1.62804,7,7,7,0
1.62804,7,7,7,0
1.62804,7,7,7,0
1.633581,7,7,7,0
1.633581,7,7,7,0
1.633581,7,7,7,0
1.633581,7,7,7,0
1.633581,7,7,7,0
1.633581,7,7,7,0
1.638617,7,7,7,0
1.638617,7,7,7,0
1.638617,7,7,7,0
1.638617,7,7,7,0
1.638617,7,7,7,0
1.638617,7,7,7,0
1.643782,7,7,7,0
1.643782,7,7,7,0
1.643782,7,7,7,0
1.643782,7,7,7,0
1.643782,7,7,7,0
1.643782,7,7,7,0
1.656387,7,7,7,0
1.656387,7,7,7,0
1.656387,7,7,7,0
1.656387,7,7,7,0
1.656387,7,7,7,0
1.656387,7,7,7,0
1.671955,7,7,7,0
1.671955,7,7,7,0
1.671955,7,7,7,0
1.671955,7,7,7,0
1.671955,7,7,7,0
1.671955,7,7,7,0
1.687424,7,7,7,0
1.687424,7,7,7,0
1.687424,7,7,7,0
1.687424,7,7,7,0
1.687424,7,7,7,0
1.687424,7,7,7,0
1.704533,7,7,7,0
1.704533,7,7,7,0
1.704533,7,7,7,0
1.704533,7,7,7,0
1.704533,7,7,7,0
1.704533,7,7,7,0
1.715513,7,7,7,0
1.715513,7,7,7,0
1.715513,7,7,7,0
1.715513,7,7,7,0
1.715513,7,7,7,0
1.715513,7,7,7,0
1.720926,7,7,7,0
1.720926,7,7,7,0
1.720926,7,7,7,0
1.720926,7,7,7,0
1.720926,7,7,7,0
1.720926,7,7,7,0
1.734011,7,7,7,0
1.734011,7,7,7,0
1.734011,7,7,7,0
1.734011,7,7,7,0
1.734011,7,7,7,0
1.734011,7,7,7,0
1.752884,7,7,7,0
1.752884,7,7,7,0
1.752884,7,7,7,0
1.752884,7,7,7,0
1.752884,7,7,7,0
1.752884,7,7,7,0
1.767498,7,7,7,0
1.767498,7,7,7,0
1.767498,7,7,7,0
1.767498,7,7,7,0
1.767498,7,7,7,0
1.767498,7,7,7,0
1.771667,7,7,7,0
1.771667,7,7,7,0
1.771667,7,7,7,0
1.771667,7,7,7,0
1.771667,7,7,7,0
1.771667,7,7,7,0
1.776087,7,7,7,0
1.776087,7,7,7,0
1.776087,7,7,7,0
1.776087,7,7,7,0
1.776087,7,7,7,0
1.776087,7,7,7,0
1.782139,7,7,7,0
1.782139,7,7,7,0
1.782139,7,7,7,0
1.782139,7,7,7,0
1.782139,7,7,7,0
1.782139,7,7,7,0
1.79373,7,7,7,0
1.79373,7,7,7,0
1.79373,7,7,7,0
1.79373,7,7,7,0
1.79373,7,7,7,0
1.79373,7,7,7,0
1.79924,7,7,7,0
1.79924,7,7,7,0
1.79924,7,7,7,0
1.79924,7,7,7,0
1.79924,7,7,7,0
1.79924,7,7,7,0
1.816303,7,7,7,0
1.816303,7,7,7,0
1.816303,7,7,7,0
1.816303,7,7,7,0
1.816303,7,7,7,0
1.816303,7,7,7,0
1.843756,7,7,7,0
1.843756,7,7,7,0
1.843756,7,7,7,0
1.843756,7,7,7,0
1.843756,7,7,7,0
1.843756,7,7,7,0
1.861732,7,7,7,0
1.861732,7,7,7,0
