Time,LorR,Question,Character,Answer_State,Answer_Time
13.98299,left,3,L,correct,0.6368065
17.55646,left,2,L,correct,0.6091805
22.05055,right,4,R,correct,0.7420807
26.83184,left,5,L,correct,0.5856171
31.47176,right,6,R,correct,0.7072258
36.84659,left,1,L,correct,0.60569
41.2829,right,2,R,correct,0.7777557
44.3067,right,1,R,correct,0.6283493
49.48472,right,3,R,correct,0.75177
55.00378,left,6,L,correct,0.8458328
59.4902,right,5,R,correct,0.6597748
65.59586,left,4,L,correct,1.128632
68.81014,left,5,L,correct,0.7524643
74.32288,right,3,R,correct,0.6010056
78.04391,right,6,R,correct,0.6750412
83.06268,left,1,L,correct,1.076561
86.00121,right,2,R,correct,0.6722107
88.96958,left,4,L,correct,0.7896042
94.41032,left,2,L,correct,0.6393127
100.0492,left,6,L,correct,0.7997437
102.9191,right,4,L,character_mistake,0.7418976
106.5509,left,3,L,correct,0.6901093
112.0247,right,1,R,correct,1.006012
115.5264,right,5,R,correct,0.7124481
119.3087,left,5,L,correct,1.090775
123.1902,left,1,L,correct,0.80718
