Time,LorR,Question,Character,Answer_State,Answer_Time
9.666126,left,5,L,correct,1.20998
12.42095,left,2,L,correct,0.570816
17.01805,left,1,L,correct,0.5436859
22.47258,left,3,L,correct,0.4977036
28.10685,left,6,L,correct,0.6500168
33.17391,left,4,L,correct,0.5691452
38.76978,right,4,R,correct,0.7779846
42.03592,right,5,R,correct,0.586441
46.45823,right,1,R,correct,0.7106018
49.38797,right,3,R,correct,0.7455978
53.04062,right,2,R,correct,1.37072
57.01068,right,6,R,correct,0.6729126
62.5076,right,3,R,correct,0.6622314
67.12495,right,1,R,correct,0.515152
72.13174,right,4,R,correct,0.5933075
77.48579,right,2,R,correct,0.6305389
81.17653,left,5,L,correct,0.7548981
85.33174,left,6,L,correct,0.577774
89.69466,right,5,R,correct,0.9998779
92.90735,left,3,L,correct,0.79422
98.45656,right,4,R,correct,0.6285553
102.5382,right,1,R,correct,0.597168
106.2489,left,6,L,correct,0.737854
109.5133,left,2,L,correct,0.8507538
114.8805,right,6,R,correct,0.5257111
120.3194,left,4,L,correct,0.7086334
124.57
