Time,LorR,Question,Character,Answer_State,Answer_Time
43.39104,left,9999,xx,irrelevant_answer,9999
44.3398,left,9999,xx,irrelevant_answer,9999
44.34693,right,9999,xxx,irrelevant_answer,9999
44.88972,left,9999,xx,irrelevant_answer,9999
45.58001,right,9999,xxx,irrelevant_answer,9999
45.82536,left,9999,xx,irrelevant_answer,9999
83.31788,left,3,L,correct,0.7732849
88.36791,left,4,L,correct,0.7196655
88.61091,right,9999,xxx,irrelevant_answer,9999
88.65456,left,9999,xx,irrelevant_answer,9999
92.77322,left,1,L,correct,0.6882172
98.22453,right,2,R,correct,0.6374969
103.38,left,5,L,correct,0.7370911
108.3535,left,6,L,correct,1.141953
113.4517,left,1,R,character_mistake,0.9176483
116.0377,right,5,R,correct,0.5449371
121.4896,left,2,L,correct,1.24826
126.5726,right,3,R,correct,1.15303
132.2698,right,9999,xxx,irrelevant_answer,9999
135.1134,right,4,R,correct,0.8768768
138.3081,right,1,R,correct,0.9204559
142.1212,right,9999,xxx,irrelevant_answer,9999
142.785,right,3,L,character_mistake,0.03137207
