Time,LorR,Question,Character,Answer_State,Answer_Time
22.09563,left,1,L,correct,0.6401978
25.52729,left,6,L,correct,0.7234039
31.09473,right,5,R,correct,0.6149368
34.84712,right,2,R,correct,0.59655
38.04593,right,3,R,correct,0.9091721
41.37219,left,4,L,correct,0.7680206
47.02796,left,2,L,correct,0.6797028
50.78522,right,1,R,correct,1.155968
56.3466,right,4,R,correct,0.6060867
60.00502,left,5,L,correct,0.6692352
62.78189,left,3,L,correct,0.5769577
66.08131,right,6,R,correct,0.722435
70.26527,left,4,L,correct,0.9334717
74.27271,left,3,L,correct,0.6570511
77.51379,left,5,L,correct,0.7852097
80.22549,left,1,L,correct,0.6920242
85.24994,left,6,L,correct,0.805954
89.80505,left,2,L,correct,0.6011963
95.04272,right,4,R,correct,0.6156464
99.74841,left,2,L,correct,0.6474304
105.2616,left,6,L,correct,0.8598633
110.9085,left,5,L,correct,0.6475372
115.228,left,3,L,correct,0.5311432
119.2747,right,1,R,correct,0.6338196
122.3272,left,1,L,correct,0.7458496
127.982,left,3,R,character_mistake,0.712341
