Time,LorR,Question,Character,Answer_State,Answer_Time
11.44114,left,2,R,character_mistake,0.7639771
15.13179,left,6,L,correct,0.7102852
17.99602,left,5,L,correct,0.7519073
23.06483,right,3,R,correct,1.22654
27.42388,left,1,L,correct,0.6503029
32.01669,right,4,R,correct,0.8803291
35.53501,right,5,R,correct,0.6976624
35.8529,right,9999,xxx,irrelevant_answer,9999
40.19592,left,3,L,correct,0.69067
45.33016,left,2,L,correct,0.6654434
49.29299,left,4,L,correct,0.7325897
54.51637,right,6,R,correct,0.6574097
57.58667,right,1,R,correct,1.029839
61.02956,left,3,L,correct,0.7671585
65.27941,left,6,L,correct,0.7789001
69.34882,left,5,R,character_mistake,0.6785583
73.28496,left,2,L,correct,1.333687
77.49722,right,1,R,correct,1.02108
80.31338,left,4,L,correct,0.7848969
84.31178,left,5,L,correct,0.7619858
87.59078,right,6,R,correct,0.6242447
90.92067,right,3,R,correct,1.287315
95.96226,right,1,R,correct,0.633522
100.1964,right,2,R,correct,0.587059
104.2421,right,4,R,correct,0.7498856
109.5128,left,
