Time,LorR,Question,Character,Answer_State,Answer_Time
13.08111,right,5,R,correct,0.5612831
16.07095,left,4,L,correct,0.5654907
19.2364,left,2,L,correct,0.5840187
22.40276,right,1,R,correct,0.5186882
26.02254,left,3,L,correct,0.5130157
29.98905,left,6,L,correct,0.5537872
32.69929,right,6,R,correct,0.678772
36.21967,right,2,R,correct,0.6183548
40.66658,left,5,L,correct,0.579071
45.42678,left,1,L,correct,0.5547714
50.13852,right,3,R,correct,0.8145676
53.25526,right,4,R,correct,0.7302475
57.5001,left,2,L,correct,0.7031326
62.80433,right,3,R,correct,0.6305771
66.34,right,4,R,correct,0.6296768
71.6171,left,6,L,correct,0.6378937
74.9178,left,1,L,correct,1.006561
79.11755,right,5,R,correct,0.5305176
82.97961,left,2,L,correct,0.6790619
85.78072,left,3,L,correct,0.5652924
90.9268,left,1,L,correct,1.082413
95.90195,right,4,R,correct,0.6987381
99.78876,right,6,R,correct,0.5711823
103.1856,right,5,R,correct,0.6725616
103.5001,right,9999,xxx,irrelevant_answer,9999
107.4819,right,3,R,correct,0.5943
