Time,LorR,Question,Character,Answer_State,Answer_Time
10.09288,right,2,R,correct,0.8465424
14.19542,left,6,L,correct,0.8244667
18.9631,left,3,L,correct,0.6010666
24.40979,left,5,L,correct,0.5558205
29.06808,left,1,L,correct,0.6236954
34.11478,left,4,L,correct,0.6404343
38.92428,right,5,R,correct,0.6785889
42.48964,right,6,R,correct,0.9390106
46.02016,right,4,R,correct,0.5857849
51.00343,right,1,R,correct,0.5153885
54.28094,right,3,R,correct,0.8670578
54.74255,right,9999,xxx,irrelevant_answer,9999
55.18705,right,9999,xxx,irrelevant_answer,9999
58.23132,left,2,L,correct,0.801918
63.13535,left,2,L,correct,0.6434097
67.10048,right,6,R,correct,0.6077118
67.30563,right,9999,xxx,irrelevant_answer,9999
71.22528,right,4,R,correct,0.893837
76.48358,left,3,L,correct,0.6678162
80.81142,right,1,R,correct,0.5318832
84.32767,right,5,R,correct,0.6809158
89.2979,right,4,R,correct,0.6871338
94.55046,left,6,L,correct,0.6602478
98.26308,right,3,R,correct,0.7503052
101.6048,left,5,L,correct,0.7710419
105
