time,catch_amount,area_diameter,area_pos.x,area_pos.z,sardine_pos.x,sardine_pos.z
11.18309,1,1.3,-0.2125043,-1.094187,-0.2551503,-1.147687
15.10607,2,1.3,-1.681691,-0.8081157,-1.77231,-1.007141
19.77209,3,1.3,0.2025052,-0.02337146,0.1642749,-0.02071563
25.40383,4,1.3,-1.338718,-0.004250929,-1.289473,0.2831713
30.15744,5,1.3,-0.8557555,-1.095973,-1.015591,-1.349247
34.35765,6,1.3,-0.03468238,-0.6863111,0.01344821,-0.8935627
38.32785,7,1.3,0.7447835,-1.164396,0.5554269,-1.481651
43.22314,8,1.3,-0.9126757,-1.537211,-0.9508394,-1.47714
46.79172,9,1.3,-2.092798,-0.736213,-2.123193,-0.8530442
51.49947,10,1.3,0.3892541,-0.9375117,0.4345993,-1.021845
62.46736,11,1.3,1.152369,1.536853,1.048013,1.392275
70.29713,12,1.3,-2.133429,0.1447745,-2.108241,-0.1375629
74.84138,13,1.3,-1.164164,-1.461717,-0.7786222,-1.331832
79.3732,14,1.3,0.5677354,0.1395892,0.4808418,-0.210082
83.16373,15,1.3,-0.5902824,-0.773868,-0.5752849,-0.9255596
86.79043,16,1.3,1.7,-0.5064654,1.767114,-0.5151318
93.25124,17,1.3,-1.031825
