Time,LorR,Question,Character,Answer_State,Answer_Time
27.39784,left,5,L,correct,0.8641319
32.63396,right,6,R,correct,0.866066
35.90714,left,4,L,correct,0.8049355
38.81149,left,2,L,correct,0.744709
43.43752,left,1,L,correct,0.9586906
47.53557,left,3,L,correct,0.9299622
51.26991,right,2,R,correct,0.9472885
56.29488,left,6,L,correct,0.9305649
60.50662,right,4,R,correct,0.6793442
64.10876,right,1,R,correct,0.7780151
67.11184,right,3,R,correct,0.9486771
71.93594,right,5,R,correct,0.8646698
76.85817,right,5,R,correct,1.209778
80.25383,left,6,L,correct,0.7807846
83.53741,left,1,L,correct,1.13533
93.90443,left,3,L,correct,0.6365585
98.72115,left,4,L,correct,0.9185791
102.2151,left,5,L,correct,0.6238403
108.2382,right,6,R,correct,1.319412
111.065,right,4,R,correct,0.792923
116.8459,left,3,L,correct,0.993515
121.6215,left,2,L,correct,0.7531433
125.2982,right,1,R,correct,1.012268
130.4934,right,5,R,correct,0.9938507
135.0347,left,1,L,correct,0.7713623
138.6052,left,6,L,correct,0.946106
143.315
